id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1010759793485911351,Cozy Room w/ Walk-In Closet in Historic Home,382970529,Thomas,,THIRTEENTH WARD,42.67003,-73.79771,Private room,52,1,50,2024-12-24,3.49,14,252,39,
1010759799610182054,Cozy Room w/ Walk-In Closet in Historic Home,382970529,Thomas,,THIRTEENTH WARD,42.66971,-73.79755,Private room,56,1,52,2024-12-20,3.64,14,251,40,
1013659440189111738,Cozy 2nd Floor Room in Historic Manor Retreat,382970529,Thomas,,FOURTEENTH WARD,42.66873,-73.7993,Private room,65,1,19,2024-12-24,1.33,14,90,9,
1014739415604882278,Newly Renovated Modern Look Historical Building,51050977,Manny,,NINTH WARD,42.6572643,-73.7769051,Entire home/apt,77,3,1,2024-06-29,0.16,1,18,1,
1015385216942267174,纽约州首府的温馨小屋,182509542,Yan,,NINTH WARD,42.6558992,-73.7965699,Private room,24,1,0,,,1,84,0,
1016050146219474145,Heart of Albany - Downtown Near Everything,42708277,Rodney,,SIXTH WARD,42.65539,-73.76416,Entire home/apt,84,1,30,2024-12-04,2.10,6,171,27,
1018299533220989494,Comfy Room in Spacious Historic Manor Retreat,382970529,Thomas,,THIRTEENTH WARD,42.66996,-73.79816,Private room,68,1,74,2024-12-29,5.27,14,265,67,
1018972187574908115,1 Comfy Bedroom Across the Park,37769478,Erion,,SIXTH WARD,42.6535,-73.77046,Entire home/apt,65,1,54,2024-11-21,3.91,11,359,48,
1020518500251473070,Downtown Studio,233515764,Etem,,SECOND WARD,42.64714,-73.75466,Entire home/apt,77,1,113,2024-12-31,8.56,4,64,110,
1020993107237604444,*Beautiful* Spacious Prime DT 1 Bedroom Apt w GYM,47625981,Linda,,THIRD WARD,42.6586,-73.76421,Entire home/apt,119,1,16,2024-11-29,1.18,18,262,15,
1021011347006185640,*Spacious* Modern 1 Bedroom RARE Apt w GYM,47625981,Linda,,THIRD WARD,42.65971,-73.76382,Entire home/apt,119,1,26,2024-11-29,1.95,18,269,23,
1023053182224590019,Great home in Albany,496990578,Brian,,ELEVENTH WARD,42.66838,-73.77868,Entire home/apt,129,2,67,2024-12-14,5.03,1,87,64,
1034722814589239236,"*Huge, bright, private 2Bedroom*",130404008,Michael,,THIRD WARD,42.65711,-73.75133,Entire home/apt,92,14,2,2024-09-01,0.38,1,62,2,
1040624808363695229,Safe - Sweet -Serene - Long Term,42708277,Rodney,,SIXTH WARD,42.65447,-73.76078,Entire home/apt,90,1,39,2024-12-17,3.15,6,125,38,
1043565517982254841,2 bed room Apartment,212885959,Osas,,SECOND WARD,42.63976,-73.75705,Entire home/apt,110,1,18,2024-10-28,1.64,1,215,18,
1046458066266475264,Spacious & Comfortable Bedroom,192312997,Natasha,,ELEVENTH WARD,42.67169,-73.78828,Private room,85,1,7,2024-10-28,0.96,1,261,7,
1051544181986274174,Renovated Cozy 1920’s Apartment,31994990,Gonca,,SEVENTH WARD,42.64478,-73.7764,Entire home/apt,53,28,1,2024-09-30,0.31,2,236,1,
1052381112116173923,Charming Bungalow in Albany!,52464523,Dashima,,FIRST WARD,42.64081,-73.77463,Entire home/apt,120,30,7,2025-01-01,0.57,1,365,6,
