alojamiento_tipo;categoria;denominacion;via_tipo;via_nombre;numero;bloque;portal;escalera;planta;puerta;cdpostal;localidad;signatura
VIVIENDAS DE USO TU;SIN CATEGORIA;CERVANTES, 3, 5D;CALLE;de Cervantes;3;;;;5;D;28014;Madrid;VT-4861
VIVIENDAS DE USO TU;SIN CATEGORIA;PICO CEJO, 34;CALLE;de Pico Cejo;34;;;;1;IZQ.;28038;Madrid;VT-4867
VIVIENDAS DE USO TU;SIN CATEGORIA;VENTURA DE LA VEGA, 10, 2A;CALLE;de Ventura de la Vega;10;;;;2;A;28014;Madrid;VT-4868
VIVIENDAS DE USO TU;SIN CATEGORIA;VENTURA DE LA VEGA, 10, 4A;CALLE;de Ventura de la Vega;10;;;;4;A;28014;Madrid;VT-4870
VIVIENDAS DE USO TU;SIN CATEGORIA;BRAVO MURILLO, 21;CALLE;de Bravo Murillo;21;;;;BAJO;5;;Madrid;VT-4871
VIVIENDAS DE USO TU;SIN CATEGORIA;C/ CARTAGENA 106 - BAJO ESC 1- PTA 4;CALLE;de Cartagena;106;;1;1;BAJO;4;;Madrid;VT-3742
VIVIENDAS DE USO TU;SIN CATEGORIA;C/ CONDE DE XIQUENA 9-4º - DCHA;CALLE;del Conde de Xiquena;9;;;;4;DCHA;28004;Madrid;VT-3743
VIVIENDAS DE USO TU;SIN CATEGORIA;C/ CONDE DE XIQUENA 9-1º-IZQ;CALLE;del Conde de Xiquena;9;;;;1;IZQ;28004;Madrid;VT-3744
VIVIENDAS DE USO TU;SIN CATEGORIA;C/ CONDE DE XIQUENA 9 - 3º-IZD;CALLE;del Conde de Xiquena;9;;;;3;IZDA;28004;Madrid;VT-3745
VIVIENDAS DE USO TU;SIN CATEGORIA;GENERAL MARTÍNEZ CAMPOS, 28, 7º C;PASEO;del General Martínez Campos;28;;;;7;C;28010;Madrid;VT-3746
VIVIENDAS DE USO TU;SIN CATEGORIA;HERMOSILLA, 82 3º B;CALLE;de Hermosilla;82;;;;3;B;28001;Madrid;VT-3747
VIVIENDAS DE USO TU;SIN CATEGORIA;SANTA CASILDA, 10, 1º B;CALLE;de Santa Casilda;10;;;;1;B;28005;Madrid;VT-3748
VIVIENDAS DE USO TU;SIN CATEGORIA;AUGUSTO FIGUEROA, 13;CALLE;de Augusto Figueroa;13;;;;BAJO;;28004;Madrid;VT-3749
VIVIENDAS DE USO TU;SIN CATEGORIA;OSO, 25 1º 2;CALLE;del Oso;25;;;;1;2;28012;Madrid;VT-3753
VIVIENDAS DE USO TU;SIN CATEGORIA;GENERAL ORAA, 69;CALLE;del General Oraá;69;;;;2;C;28006;Madrid;VT-3755
VIVIENDAS DE USO TU;SIN CATEGORIA;GOBERNADOR, 3 2º izda.;CALLE;del Gobernador;3;;;;2;IZQ.;28014;Madrid;VT-3756
VIVIENDAS DE USO TU;SIN CATEGORIA;PLAZA SAN NICOLÁS, 1;PLAZA;de San Nicolás;1;;;;2;DCHA.;28013;Madrid;VT-3757
VIVIENDAS DE USO TU;SIN CATEGORIA;GOBERNADOR, 1;CALLE;del Gobernador;1;;;;BAJO;A;28014;Madrid;VT-3758
VIVIENDAS DE USO TU;SIN CATEGORIA;ERASO, 23;CALLE;de Eraso;23;;;;4;CENTRO;28028;Madrid;VT-3759
VIVIENDAS DE USO TU;SIN CATEGORIA;ESPARTEROS, 10;CALLE;de Esparteros;10;;;;1;A;28012;Madrid;VT-3760
VIVIENDAS DE USO TU;SIN CATEGORIA;PASEO PONTONES, 23;PASEO;de Pontones;23;;;1;3;C;28005;Madrid;VT-3761
VIVIENDAS DE USO TU;SIN CATEGORIA;VALLEHERMOSO, 74;CALLE;de Vallehermoso;74;;;;3;IZQ.;;Madrid;VT-4075
VIVIENDAS DE USO TU;SIN CATEGORIA;COLÓN, 8, BAJO DCHA.;CALLE;de Colón;8;;;;BAJO;DCHA.;28004;Madrid;VT-4076
VIVIENDAS DE USO TU;SIN CATEGORIA;ÁNGEL HERNÁNDEZ, 21;CALLE;de Ángel Hernández;21;;;B;2;2;28002;Madrid;VT-4077
VIVIENDAS DE USO TU;SIN CATEGORIA;TOLEDO, 25, 1 IZQ;CALLE;de Toledo;25;;;;1;IZQ.;28005;Madrid;VT-4078
VIVIENDAS DE USO TU;SIN CATEGORIA;AUGUSTO FIGUEROA, 25, 4 IZQ;CALLE;de Augusto Figueroa;25;;;;4;IZQ.;28004;Madrid;VT-4079
VIVIENDAS DE USO TU;SIN CATEGORIA;FACTOR, 3;CALLE;del Factor;3;;;;1;A;28013;Madrid;VT-4081
VIVIENDAS DE USO TU;SIN CATEGORIA;SAN ROQUE, 12;CALLE;de San Roque;12;;;;5;IZQ.;28004;Madrid;VT-4082
VIVIENDAS DE USO TU;SIN CATEGORIA;LA PALMA, 76;CALLE;de la Palma;76;;;;3;A;;Madrid;VT-4083
VIVIENDAS DE USO TU;SIN CATEGORIA;SEGOVIA, 4, PORTAL A, SÓTANO A;RONDA;de Segovia;4;;;;SÓTANO;A;28005;Madrid;VT-4084
VIVIENDAS DE USO TU;SIN CATEGORIA;LUNA, 6 1º D, 4;CALLE;de la Luna;6;;;;1D;4;28004;Madrid;VT-4086
VIVIENDAS DE USO TU;SIN CATEGORIA;LUNA, 6, 1D, PTA. 3;CALLE;de la Luna;6;;;;1D;3;28004;Madrid;VT-4087
VIVIENDAS DE USO TU;SIN CATEGORIA;GENERAL DÍAZ PORLIER, 59;CALLE;del General Díaz Porlier;59;;;C;6;C;;Madrid;VT-4089
VIVIENDAS DE USO TU;SIN CATEGORIA;CONDE DE ROMANONES, 10, 1D;CALLE;del Conde de Romanones;10;;;;1;D;28012;Madrid;VT-4090
VIVIENDAS DE USO TU;SIN CATEGORIA;GALILEO, 57;CALLE;de Galileo;57;;;;4;B;;Madrid;VT-4091
VIVIENDAS DE USO TU;SIN CATEGORIA;BARACALDO, 24;CALLE;de Baracaldo;24;;;;BAJO;B;28029;Madrid;VT-4092
VIVIENDAS DE USO TU;SIN CATEGORIA;VIRIATO, 33;CALLE;de Viriato;33;;;;2;;28010;Madrid;VT-4093
VIVIENDAS DE USO TU;SIN CATEGORIA;SANTA ENGRACIA, 3, 2D;CALLE;de Santa Engracia;3;;;;2;D;;Madrid;VT-4094
VIVIENDAS DE USO TU;SIN CATEGORIA;SANTA ENGRACIA, 3, 1D;CALLE;de Santa Engracia;3;;;;1;D;;Madrid;VT-4095
VIVIENDAS DE USO TU;SIN CATEGORIA;PIRRA 44,1º,PTA 9, PORTAL C;CALLE;de Pirra;44;;C;;1;9;28022;Madrid;VT-4428
VIVIENDAS DE USO TU;SIN CATEGORIA;PIRRA 44,3º,PTA 14, PORTAL B;CALLE;de Pirra;44;;B;;3;14;28022;Madrid;VT-4429
VIVIENDAS DE USO TU;SIN CATEGORIA;SAMANIEGO 12, 3º, A, PORTAL 3;CALLE;de Samaniego;12;;3;;3;A;28022;Madrid;VT-4430
VIVIENDAS DE USO TU;SIN CATEGORIA;SAN SIMON,8,4º,DCHA;CALLE;de San Simón;8;;;;4;DCHA;28012;Madrid;VT-4431
VIVIENDAS DE USO TU;SIN CATEGORIA;DELICIAS 13,BAJO,B APARTAMENTO DORO;CALLE;de Delicias;13;;;;BAJO;B;28045;Madrid;VT-4432
VIVIENDAS DE USO TU;SIN CATEGORIA;DE LAS ERAS 30, B;CALLE;Eras;30;;;;BAJO;;28670;Villaviciosa de Odón;VT-4433
VIVIENDAS DE USO TU;SIN CATEGORIA;POZAS, 11, BAJO C;CALLE;de las Pozas;11;;;;BAJO;C;28004;Madrid;VT-4435
VIVIENDAS DE USO TU;SIN CATEGORIA;MEDIODÍA CHICA, 8 1º IZDA;CALLE;del Mediodía Chica;8;;;EXT;1;IZDA;28005;Madrid;VT-4436
